FireCode,location,block,pasture,patch,year,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,RH,WindSpeed,VPD,ros,SoilMaxC,tHa
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,1,2,25.51,8.32,37.019999999999996,0.4033333333333333,258.1666666666667,33.52,19.67,21.694578176557826,17.320508075704524,94.25,1.6309333333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,1,3,25.51,8.32,49.166666666666664,0.5233333333333333,288,33.52,19.67,21.694578176557826,1.9941002821317064,565.75,1.822933333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,1,25.09,8.53,59,0.2833333333333333,53.583333333333336,34.82,19.38,20.732020833571475,0.6375287226441482,43.5,1.3829333333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,2,25.51,8.32,43.803333333333335,0.26,104.08333333333333,33.52,19.67,21.694578176557826,0.8072804131525755,116.75,1.582933333333333
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,2,3,25.51,8.32,76.85000000000001,0.14,60.083333333333336,33.52,19.67,21.694578176557826,0.48625921607829836,36,1.0042666666666666
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,3,2,25.92,8.11,20.83,0.8633333333333333,411.5,32.21,19.96,22.653054034157243,2.141037306314502,198.5,2.9936
CG.BAR.NE.NE.18,CG,BAR,NE,NE,18,3,3,25.92,8.11,86.41,0.6366666666666667,188.41666666666666,32.21,19.96,22.653054034157243,3.927922024247991,49,2.1376000000000004
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,1,1,10.69,-1.28,31.11,NA,92,43.59,15.85,7.299210414358771,0.545695125263576,NA,0.92
CG.BAR.NE.SWW.19,CG,BAR,NE,SWW,19,1,3,10.69,-1.28,23.463333333333335,NA,185.5,43.59,15.85,7.299210414358771,2.9801978033950474,NA,1.0314666666666668
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,1,2,11.129999999999999,-1.1933333333333334,32.72333333333333,NA,73.91666666666667,42.70333333333333,14.77,7.645670122240534,0.013632377312153554,NA,2.812266666666667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,2,1,11,-1.16,20.4,NA,135.5,43.08,14.88,7.518037082279671,0.44806073327219587,NA,1.0656
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,2,2,11,-1.16,49.79333333333334,NA,45.666666666666664,43.08,14.88,7.518037082279671,0.22721839817759554,NA,0.5413333333333332
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,2,3,11,-1.16,28.096666666666668,NA,164.91666666666666,43.08,14.88,7.518037082279671,0.2572258127203206,NA,0.8346666666666667
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,3,1,10.59,-0.76,13.773333333333333,NA,203.5,45.65,15.18,6.997273720109621,0.6907359106421144,NA,1.2570666666666666
CG.BAR.NW.NE.19,CG,BAR,NW,NE,19,3,2,10.59,-0.76,13.813333333333333,NA,220.75,45.65,15.18,6.997273720109621,0.6842375537766575,NA,1.5152
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,1,1,24.87,6.16,104.88333333333334,0.25333333333333335,44.916666666666664,30.04,18.34,21.98364125632286,1.1314714296070514,43.75,0.5882666666666666
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,1,3,25.24,6.35,82.66666666666667,0.43333333333333335,64.75,29.75,16.75,22.558996216378045,0.9127300866334502,258,0.9136
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,2,2,24.87,6.16,58.23,1.17,234,30.04,18.34,21.98364125632286,3.2287320150031107,39.15,1.8789333333333331
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,2,3,24.87,6.16,77.85666666666667,1.2166666666666668,296.1666666666667,30.04,18.34,21.98364125632286,2.430657581826018,194.75,2.3296
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,3,1,24.87,6.16,62.12,0.9666666666666667,197.41666666666666,30.04,18.34,21.98364125632286,0.46344368516560286,107.25,1.9269333333333334
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,3,2,24.87,6.16,40.946666666666665,1.1133333333333333,198.08333333333334,30.04,18.34,21.98364125632286,8.320502943377273,80,3.1056
CG.BAR.NW.NW.18,CG,BAR,NW,NW,18,3,3,24.87,6.16,70.57666666666667,0.49333333333333335,207.41666666666666,30.04,18.34,21.98364125632286,0.42943408452118825,132.5,1.7802666666666667
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,1,1,28.33,7.78,26.94333333333333,1.1233333333333333,227.41666666666666,27.29,8.48,27.970544274182075,2.4549512651550542,49.9,3.7056
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,1,2,28.33,7.78,28.653333333333336,0.55,139.91666666666666,27.29,8.48,27.970544274182075,0.6060503002219696,245.25,2.3615999999999997
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,1,3,28.33,7.78,33.74,0.92,251,27.29,8.48,27.970544274182075,2.3261172892364015,262,2.5696
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,2,3,28.33,7.78,54.41,1.3366666666666667,216.08333333333334,27.29,8.48,27.970544274182075,1.4173667737846825,142.25,5.092266666666666
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,3,1,28.09,8.04,65.23333333333333,2.1399999999999997,279,28.19,8.67,27.247562000244287,1.9597660033923385,356.25,4.342933333333334
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,3,2,28.09,8.04,35.08,2.1766666666666667,300.3333333333333,28.19,8.67,27.247562000244287,0.6925741182141621,184.5,4.3136
CG.BAR.SE.SEE.18,CG,BAR,SE,SEE,18,3,3,28.09,8.04,44.416666666666664,2.61,347.75,28.19,8.67,27.247562000244287,0.7216878364870049,61.75,6.332266666666667
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,1,1,22.14,7.36,26.076666666666668,1.44,336.75,38.5,19.66,16.400977461254996,1.1338934190276633,NA,2.344533333333333
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,1,2,22.14,7.36,26.380000000000003,1.5466666666666666,292.5,38.5,19.66,16.400977461254996,3.3062326126671664,NA,2.5296
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,1,3,22.14,7.36,21.41,1.54,281.5,38.5,19.66,16.400977461254996,1.5382929861150507,24.25,1.9376
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,2,1,21.933333333333334,7.51,19.376666666666665,0.13333333333333333,120,39.40333333333333,20.463333333333335,15.961232643425932,0.1374811891184027,NA,1.4352
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,2,2,22.05,7.43,35.64,0.5599999999999999,190.25,38.9,20.01,16.205839197617713,0.8179114788986128,NA,2.456
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,2,3,22.05,7.43,33.04333333333334,0.7433333333333333,390.5,38.9,20.01,16.205839197617713,11.920791213596237,39.75,2.8928000000000003
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,3,1,22.05,7.43,33.36,0.2,165.83333333333334,38.9,20.01,16.205839197617713,0.31972236470026605,NA,3.2421333333333333
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,3,2,22.05,7.43,35.71,0.3933333333333333,181.75,38.9,20.01,16.205839197617713,0.5603481050535316,NA,2.5616
CG.BAR.SE.SWE.19,CG,BAR,SE,SWE,19,3,3,22.05,7.43,39.43666666666667,0.6433333333333333,185.33333333333334,38.9,20.01,16.205839197617713,0.07407196668641136,27.5,2.6565333333333334
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,1,1,27.253333333333334,8.036666666666667,64.71,0.7466666666666666,120.08333333333333,29.63,5.953333333333333,25.438492169708233,0.019682851638088993,61,2.0016
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,1,2,27.473333333333333,7.970000000000001,163.10333333333335,0.20666666666666667,43.333333333333336,29.103333333333335,6.28,25.95611539453633,0.04276043039410781,45.5,0.7776000000000001
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,1,3,27.473333333333333,7.970000000000001,87.34,0.20333333333333334,46.416666666666664,29.103333333333335,6.28,25.95611539453633,0.046885455767806165,46,0.8576
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,2,1,26.54,8.68,72.26666666666667,0.7666666666666666,73.58333333333333,32.25,6.88,23.47348358022995,0.8045662061935183,731.75,2.0682666666666663
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,2,2,26.54,8.68,48.846666666666664,0.8533333333333333,128.08333333333334,32.25,6.88,23.47348358022995,0.8514850866846873,53.77,1.7349333333333334
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,3,1,26.54,8.68,67.87333333333333,1.6233333333333333,173,32.25,6.88,23.47348358022995,0.4510215933427268,151.5,3.238933333333333
CG.BAR.SW.NE.18,CG,BAR,SW,NE,18,3,3,26.54,8.68,65.34,1.15,307.0833333333333,32.25,6.88,23.47348358022995,0.348546717669529,46.68,2.6202666666666667
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,1,1,11.92,-1.18,14.67,NA,277.1666666666667,40.48,14.71,8.35118051967305,3.4641016151377544,NA,2.6368
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,1,2,11.92,-1.18,12.866666666666667,NA,310.5833333333333,40.48,14.71,8.35118051967305,5.999999999997271,NA,1.5808
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,1,3,11.92,-1.18,10.263333333333334,NA,504.4166666666667,40.48,14.71,8.35118051967305,5.000000000001704,21.5,3.2858666666666667
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,2,1,11.92,-1.18,10.66,NA,418.5833333333333,40.48,14.71,8.35118051967305,25.980762113468177,NA,2.4528000000000003
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,2,2,11.92,-1.18,10.22,NA,345,40.48,14.71,8.35118051967305,6.4951905283836595,14.25,1.5845333333333333
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,2,3,11.92,-1.18,12.649999999999999,NA,450.6666666666667,40.48,14.71,8.35118051967305,3.7402723571554506,20,3.8192
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,3,1,11.92,-1.18,23.37,NA,486.8333333333333,40.48,14.71,8.35118051967305,5.119921115895044,NA,1.5429333333333335
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,3,2,11.92,-1.18,21.233333333333334,NA,355.25,40.48,14.71,8.35118051967305,4.505635568895421,NA,2.0533333333333337
CG.BAR.SW.SE.19,CG,BAR,SW,SE,19,3,3,11.92,-1.18,17.88,NA,204.41666666666666,40.48,14.71,8.35118051967305,2.0587905489224245,23.5,1.9386666666666665
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,1,2,16.22,4.96,NA,0.9433333333333334,185.41666666666666,47.325,17.59495795,9.743747281596125,1.3279884160567434,20.25,NA
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,1,3,16.29,4.6,NA,2.34,252,45.92,14.36500454,10.042555278941702,4.6108396762065285,180.75,NA
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,2,1,16.22,4.96,17.996666666666666,1.6099999999999999,309.0833333333333,47.325,17.59495795,9.743747281596125,7.500000000006819,24.12,2.8149333333333333
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,2,2,16.22,4.96,13.993333333333334,1.8233333333333333,448.75,47.325,17.59495795,9.743747281596125,7.924058156921481,246.75,2.8469333333333333
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,2,3,16.22,4.96,12.316666666666666,2.38,369.0833333333333,47.325,17.59495795,9.743747281596125,3.375263702778227,97.75,3.1056
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,3,2,16.15,5.33,NA,1.1166666666666667,316.4166666666667,48.73,20.82491136,9.434199274588105,3.0565602486512873,23.15,NA
CG.BOB.NE.NEW.18,CG,BOB,NE,NEW,18,3,3,16.22,4.96,NA,2.4699999999999998,485.25,47.325,17.59495795,9.743747281596125,3.0887920037460375,624.5,NA
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,1,1,21.325,5.41,16.87,1.4766666666666666,153.58333333333334,35.42,10.23220915,16.39915987877672,0.5648325441286336,NA,1.3210666666666666
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,1,2,21.325,NA,25.486666666666668,1.2333333333333334,123.25,35.42,10.23220915,NA,0.6180205145014641,NA,1.7744000000000002
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,1,3,21.325,5.41,27.816666666666666,1.0866666666666667,137.58333333333334,35.42,10.23220915,16.39915987877672,1.7885894254139452,NA,1.7509333333333335
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,2,1,21.31,5.49,35.12,0.19333333333333333,59.666666666666664,35.63,9.765499392,16.325754141743857,2.5145944030226866,NA,1.4357333333333333
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,2,2,21.31,5.49,38.199999999999996,0.52,117.41666666666667,35.63,9.765499392,16.325754141743857,0.6652991438591181,18.5,2.4757333333333333
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,2,3,21.31,5.49,34.85666666666667,1.97,126.08333333333333,35.63,9.765499392,16.325754141743857,0.9447549859468165,24.75,0.38826666666666665
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,3,1,21.31,5.49,26.926666666666666,2.6,91.16666666666667,35.63,9.765499392,16.325754141743857,0.40084414616755626,NA,2.2549333333333332
CG.BOB.NE.NWW.19,CG,BOB,NE,NWW,19,3,3,21,5.41,37.97666666666667,1.2233333333333334,150.91666666666666,36.12,8.737933248,15.898206927168722,0.28231204633794516,47.25,1.9386666666666665
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,1,1,19.89,-0.92,11.386666666666667,0.4533333333333333,272.0833333333333,24.77,12.78301939,17.517745360418107,1.2163272811190222,377.75,2.4682666666666666
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,1,2,19.89,-0.92,10.459999999999999,0.8466666666666667,464.9166666666667,24.77,12.78301939,17.517745360418107,19.639610121218897,275.75,2.836266666666667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,2,1,19.89,-0.92,6.556666666666667,0.8566666666666667,375.5833333333333,24.77,12.78301939,17.517745360418107,4.803844614154042,540.25,2.3669333333333333
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,2,3,20.043333333333333,-0.6,4.746666666666667,0.7533333333333333,359.5,25.10333333333333,12.834339796666667,17.603867000013206,0.5196152422706396,347.75,3.340266666666667
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,3,1,19.89,-0.92,10.533333333333333,0.46,496.6666666666667,24.77,12.78301939,17.517745360418107,17.320508075665142,129.25,2.6096
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,3,2,19.89,-0.92,8.096666666666666,1.1833333333333333,495.5,24.77,12.78301939,17.517745360418107,12.990381056778393,309,3.4095999999999997
CG.BOB.NW.NE.18,CG,BOB,NW,NE,18,3,3,19.89,-0.92,13.063333333333333,0.48,302.6666666666667,24.77,12.78301939,17.517745360418107,12.990381056756242,283.75,1.3189333333333333
